"SYMBOL 
","COMPANY 
","PURPOSE 
","DETAILS 
","DATE 
"
"INOXGREEN","Inox Green Energy Services Limited","Fund Raising/Other business matters","To consider Fund Raising and other business matters","22-Jul-2026"
"JSWENERGY","JSW Energy Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"JUBLINGREA","Jubilant Ingrevia Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"MHRIL","Mahindra Holidays & Resorts India Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"NACLIND","NACL Industries Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"NAM-INDIA","Nippon Life India Asset Management Limited","Other business matters","Board Meeting Intimation for Considering Unaudited Financial Results for the Quarter ending June 30, 2026","22-Jul-2026"
"NESTLEIND","Nestle India Limited","Financial Results","A meeting of the Board of Directors of the Company is scheduled for Wednesday, 22nd July 2026, to inter-alia consider the unaudited financial results (standalone and consolidated) for the first quarter ending 30th June 2026.","22-Jul-2026"
"NTPCGREEN","NTPC Green Energy Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"OFSS","Oracle Financial Services Software Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"ORIENTELEC","Orient Electric Limited","Financial Results","To consider and approve the Un-audited Financial Results for the period ended Jun 30, 2026","22-Jul-2026"
"POWERGRID","Power Grid Corporation of India Limited","Fund Raising","To consider Fund Raising","22-Jul-2026"
"RADHIKAJWE","Radhika Jeweltech Limited","Other business matters","To consider other business matters","22-Jul-2026"
"RADIOCITY","Music Broadcast Limited","Financial Results","To consider and approve the Un-audited financial results for the quarter ended June 30, 2026","22-Jul-2026"
"RSSOFTWARE","R. S. Software (India) Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","22-Jul-2026"
"SCHAEFFLER","Schaeffler India Limited","Financial Results","To consider and approve the Unaudited financial results (standalone and Consolidated) for the quarter and half year ended Jun 30, 2026","22-Jul-2026"
"SHOPERSTOP","Shoppers Stop Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","22-Jul-2026"
"SMARTWORKS","Smartworks Coworking Spaces Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"SRF","SRF Limited","Financial Results/Dividend/Fund Raising","To consider and approve the financial results for the period ended Jun 30, 2026, dividend and Fund Raising","22-Jul-2026"
"STYLAMIND","Stylam Industries Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"TANLA","Tanla Platforms Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"TATACOMM","Tata Communications Limited","Financial Results","To consider and approve the Unaudited Financial Results for the quarter ended June 30, 2026","22-Jul-2026"
"TIPSMUSIC","Tips Music Limited","Financial Results","To consider and approve the unaudited financial results for the period ended Jun 30, 2026","22-Jul-2026"
"TIPSMUSIC","Tips Music Limited","Buyback","To consider buyback for equity shares","22-Jul-2026"
"TTML","Tata Teleservices (Maharashtra) Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"UCOBANK","UCO Bank","Financial Results","To consider and approve the unaudited financial results for the quarter ended Jun 30, 2026","22-Jul-2026"
"UNITDSPR","United Spirits Limited","Financial Results","To consider and approve the unaudited financial results for the period ended June 30, 2026","22-Jul-2026"
"UTIAMC","UTI Asset Management Company Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","22-Jul-2026"
"VSSL","Vardhman Special Steels Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026.","22-Jul-2026"
"WAAREERTL","Waaree Renewable Technologies Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","22-Jul-2026"
"3IINFOLTD","3i Infotech Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","23-Jul-2026"
"ABDL","Allied Blenders and Distillers Limited","Financial Results/Other business matters","Intimation of Board Meeting scheduled to be held on Thursday, July 23, 2026","23-Jul-2026"
