"SYMBOL 
","COMPANY 
","PURPOSE 
","DETAILS 
","DATE 
"
"CASTROLIND","Castrol India Limited","Financial Results/Dividend","To consider and approve the unaudited financial results of the Company for the quarter and half year ended 30 June 2026; and declaration of interim dividend for FY 2026, if any.","04-Aug-2026"
"EMAMILTD","Emami Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","04-Aug-2026"
"GODREJPROP","Godrej Properties Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","04-Aug-2026"
"KALYANKJIL","Kalyan Jewellers India Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","04-Aug-2026"
"MARICO","Marico Limited","Financial Results","Pursuant to Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby inform you that a meeting of the Board of Directors of the Company is scheduled to be held on Tuesday, August 4, 2026, to inter alia, consider and approve the un-audited standalone & consolidated financial results of the Company for the quarter ended June 30, 2026, along with the Limited Review Report of the Auditors thereon.","04-Aug-2026"
"PIDILITIND","Pidilite Industries Limited","Financial Results","Intimation of date of Board meeting for consideration ofunaudited financial results for the first quarter ended 30.06.2026","04-Aug-2026"
"RUSTOMJEE","Keystone Realtors Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","04-Aug-2026"
"SHRIPISTON","SPR Auto Technologies Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","04-Aug-2026"
"TIMKEN","Timken India Limited","Financial Results","Pursuant to Regulation 29 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby inform that a Meeting of the Board of Directors of the Company will be held on Tuesday, 4 August, 2026, inter-alia, to consider and approve Financial Results of the Company for the quarter ended 30 June, 2026.","04-Aug-2026"
"TREJHARA","TREJHARA SOLUTIONS LIMITED","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","04-Aug-2026"
"UBL","United Breweries Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","04-Aug-2026"
"UGROCAP","Ugro Capital Limited","Financial Results/Other business matters","Intimation of the meeting of the Board of Directors scheduled to be held on Tuesday, 04th August 2026","04-Aug-2026"
"WONDERLA","Wonderla Holidays Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","04-Aug-2026"
"ZYDUSWELL","Zydus Wellness Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","04-Aug-2026"
"BERGEPAINT","Berger Paints (I) Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","05-Aug-2026"
"BIKAJI","Bikaji Foods International Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","05-Aug-2026"
"CUMMINSIND","Cummins India Limited","Financial Results","The meeting of the Board of Directors of the Company is scheduled on August 05, 2026, inter alia, to consider and approve unaudited financial results (standalone and consolidated) for the quarter ending June 30, 2026.","05-Aug-2026"
"GNFC","Gujarat Narmada Valley Fertilizers and Chemicals Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","05-Aug-2026"
"GODREJAGRO","Godrej Agrovet Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","05-Aug-2026"
"NAVINFLUOR","Navin Fluorine International Limited","Financial Results","Pursuant to Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, this is to inform you that a Meeting of the Board of Directors of the Company is scheduled to be held on Wednesday, August 05, 2026, inter-alia, to consider, approve and take on record, the Unaudited Standalone and Consolidated Financial Results of the Company for the quarter ending June 30, 2026.In accordance with the provisions of SEBI (Prohibition of Insider Trading) Regulations, 2015 read with the Company s Code of Conduct to Regulate, Monitor and Report Trading by Designated Persons and their immediate relatives, the Trading Window in respect of dealings in the securities of the Company will remain closed from June 30, 2026 to August 07, 2026 (both days inclusive).","05-Aug-2026"
"PAISALO","Paisalo Digital Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","05-Aug-2026"
"RENUKA","Shree Renuka Sugars Limited","Financial Results","To consider and approve the unaudited financial results (Standalone & Consolidated) for the quarter ended 30th June 2026","05-Aug-2026"
"RML","Rane (Madras) Limited","Financial Results","RANE (MADRAS) LTD. has informed that the meeting of the Board of Directors of the Company is scheduled on August 05, 2026, inter alia, to consider and approve the Unaudited Financial Results for the quarter ending June 30, 2026. Further, in accordance with Rane's lnsider code, the 'Trading window' would remain closed for Promoters, Directors, other connected persons and designated employees of the company from June 30, 2026 to August 07, 2026 (both days inclusive) for the above purpose.","05-Aug-2026"
"SHALBY","Shalby Limited","Financial Results","To consider and approve the unaudited financial results (standalone and consolidated) for the quarter ended Jun 30, 2026","05-Aug-2026"
"SUBEXLTD","Subex Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","05-Aug-2026"
"TVTODAY","TV Today Network Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","05-Aug-2026"
"BLUESTARCO","Blue Star Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","06-Aug-2026"
"BOSCH-HCIL","BOSCH HOME COMFORT INDIA LIMITED","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","06-Aug-2026"
"COFFEEDAY","Coffee Day Enterprises Limited","Financial Results","To consider and approve the unaudited standalone and consolidated financial results for the quarter ended 30 June, 2026","06-Aug-2026"
"CROMPTON","Crompton Greaves Consumer Electricals Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","06-Aug-2026"
"EMCURE","Emcure Pharmaceuticals Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","06-Aug-2026"
"JSWHL","JSW Holdings Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","06-Aug-2026"
"PGHL","Procter & Gamble Health Limited","Financial Results","To consider and approve the financial results for the quarter ended Jun 30, 2026","06-Aug-2026"
"RAIN","Rain Industries Limited","Financial Results","To consider and approve the Unaudited financial results (Standalone, Consolidated and Segment) for the Second Quarter and Half Year ended June 30, 2026","06-Aug-2026"
"SAILIFE","Sai Life Sciences Limited","Financial Results","To consider and approve the Un Audited financial results for the period ended Jun 30, 2026","06-Aug-2026"
"TCIEXP","TCI Express Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","06-Aug-2026"
"TRENT","Trent Limited","Financial Results","Notice of Board Meeting","06-Aug-2026"
"GODREJCP","Godrej Consumer Products Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended Jun 30, 2026 and dividend","07-Aug-2026"
"HINDALCO","Hindalco Industries Limited","Financial Results","To consider and approve the unaudited Standalone and Consolidated financial results for the quarter ending Jun 30, 2026","07-Aug-2026"
"TITAN","Titan Company Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","07-Aug-2026"
"ANANTRAJ","Anant Raj Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","08-Aug-2026"
"ATULAUTO","Atul Auto Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","08-Aug-2026"
"ARE&M","Amara Raja Energy & Mobility Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","10-Aug-2026"
"BOSCHLTD","Bosch Limited","Financial Results","To consider and approve the unaudited financial results for the period ended Jun 30, 2026","10-Aug-2026"
"ESABINDIA","Esab India Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","11-Aug-2026"
"FOSECOIND","Foseco India Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","11-Aug-2026"
"IFCI","IFCI Limited","Financial Results","To consider and approve the financial results for the period ended June 30, 2026","11-Aug-2026"
"APOLLOHOSP","Apollo Hospitals Enterprise Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","12-Aug-2026"
"CENTRUM","Centrum Capital Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","12-Aug-2026"
"MINDTECK","Mindteck (India) Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","12-Aug-2026"
"MTNL","Mahanagar Telephone Nigam Limited","Financial Results","COMPLIANCE OF REGULATION 29 (1) (A) & 50 (1) (C) OF SEBI (LODR) REGULATIONS, 2015   INTIMATION OF BOARD MEETING FOR APPROVING THE UNAUDITED REVIEWED FINANCIAL RESULTS FOR THE QUARTER ENDED ON 30Th JUNE, 2026","12-Aug-2026"
"MUKANDLTD","Mukand Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","12-Aug-2026"
"ELGIEQUIP","Elgi Equipments Limited","Financial Results","To consider and approve the Unaudited financial results for the quarter ended June 30, 2026","13-Aug-2026"
"ENDURANCE","Endurance Technologies Limited","Financial Results","To consider and approve the unaudited financial results of the Company for the quarter ending 30th June, 2026.","13-Aug-2026"
"INDIGOPNTS","Indigo Paints Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","13-Aug-2026"
"MFSL","Max Financial Services Limited","Financial Results","Board Meeting for consideration of un-audited financial results of the Company for the quarter ending June 30, 2026","13-Aug-2026"
"PAGEIND","Page Industries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended Jun 30, 2026 and dividend","13-Aug-2026"
"RANEHOLDIN","Rane Holdings Limited","Financial Results","RANE HOLDINGS LTD. has informed that the meeting of the Board of Directors of the Company is scheduled on August 13, 2026, inter alia, to consider and approve the Unaudited Financial Results for the quarter and year ending June 30, 2026. Further, in accordance with Rane's lnsider code, the 'Trading window' would remain closed for Promoters, Directors, other connected persons and designated employees of the company from June 30, 2026 to August 15, 2026 (both days inclusive) for the above purpose.","13-Aug-2026"
"3MINDIA","3M India Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","14-Aug-2026"
"CHOLAHLDNG","Cholamandalam Financial Holdings Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","14-Aug-2026"
